School,G,MP,FG,FGA,FGP,2P,2PA,2P%,3P,3PA,THREEP,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,"	PTS"
Gonzaga,32,40,32.7,62.6,0.521,24.5,40.5,0.604,8.2,22.1,0.37,13.7,19.2,0.713,9.7,32.3,41.9,18.1,6.4,5.8,11.6,15.5,87.2
Georgia State,29,40.5,24.9,62.3,0.4,17.3,39.2,0.441,7.6,23.1,0.33,13.2,18.4,0.72,13.3,24.1,37.4,13.5,8.8,4.5,11.7,16.1,70.7
Bosie State,35,40.4,24.3,54.6,0.445,16.9,33.4,0.507,7.3,21.2,0.346,12.4,19.1,0.65,10.2,24.6,34.8,11.4,6,3.4,12.1,15,68.3
Memphis,33,40,26.9,57.4,0.469,20.7,39.9,0.519,6.2,17.5,0.355,15.1,21.7,0.694,12.5,26.3,38.8,15.8,8.4,5.5,16,18.8,75.2
UCONN,33,40.8,26.7,61.2,0.435,19.2,40.1,0.48,7.4,21.1,0.352,14.1,18.7,0.753,13.8,26.6,40.4,14,5.9,6.4,11.8,16.8,74
New Mexico State,34,40.1,25.6,56.3,0.454,17.7,32.4,0.546,7.9,23.9,0.33,13.5,19.2,0.702,10.9,27.3,38.2,13.7,5,4.1,14.1,15.9,72.5
Arkansas,37,40.3,26.3,60.6,0.434,20,39.8,0.501,6.3,20.7,0.304,17.1,22.5,0.76,10.8,27,37.8,13.8,7.6,4.1,12.2,16.9,75.9
Vermont,34,40.1,27.5,55.9,0.492,18.8,31.9,0.588,8.8,24,0.365,11,14.8,0.742,7.3,27.7,35,15.1,5.1,2.5,9.6,14,74.8
Alabama,33,40.2,27.6,62.8,0.44,18.4,32.9,0.559,9.2,29.9,0.309,15,20.6,0.728,13.4,26.2,39.6,14.7,7.1,4.7,14.5,18.5,79.5
Notre Dame,35,40.6,26.1,56.4,0.463,17,32.5,0.522,9.1,23.8,0.381,11.3,15,0.753,7.2,26.8,34,14,5.2,1.9,10.4,12.7,72.6
Texas Tech,37,40.4,26.2,55.5,0.472,20.1,36.6,0.549,6.1,18.9,0.321,13.6,19.5,0.698,10.6,25.9,36.4,13.7,8,3.5,13.5,16.2,72.1
Michigan State,36,40,26.1,57.2,0.456,18.8,37.9,0.496,7.3,19.3,0.378,12.8,17.1,0.75,10.1,26.8,36.9,15.7,5.7,5,12.8,16.9,72.3
Davidson,34,40.1,26.7,55.5,0.481,17.9,32.6,0.547,8.9,22.9,0.387,13.2,17.6,0.754,7.4,26.8,34.1,14.6,4.6,2.6,9.8,14.8,75.5
Duke,38,40.1,29.7,60.1,0.494,21.7,38.6,0.563,8,21.6,0.37,12.8,17.2,0.742,10.4,27.5,37.9,16.6,6.4,5.7,10.4,13.5,80.1
